algorithm,scan,signal,op_channel,nic_channel,ssid,bssid,vendor,delayj,delayk,frame_type,kernel_time,jiffies,prequest
200,12,-80,1,1,Livebox-B550,00:14:a4:5c:3e:f5,NA,2,0.0023140000002968,presponse,5095.589393,4795590,2466
200,12,-81,1,1,NUMERICABLE-6698,a0:21:b7:ee:4e:f6,NA,8,0.0080340000004071,presponse,5095.595113,4795596,2466
200,12,-69,11,11,freebox_RNXNFY,9a:bc:5e:18:37:e8,NA,3,0.00369099999988975,presponse,5095.620767,4795621,2467
200,12,-69,11,11,FreeWifi,9a:bc:5e:18:37:ea,NA,6,0.00618999999915104,presponse,5095.623266,4795624,2467
200,12,-70,11,11,FreeWifi_secure,9a:bc:5e:18:37:eb,NA,8,0.00880599999982223,presponse,5095.625882,4795626,2467
200,12,-67,11,11,Numenor,4c:09:b4:0b:d2:83,NA,16,0.0165219999998953,presponse,5095.633598,4795634,2467
200,12,-80,11,11,Bouygues Telecom Wi-Fi,52:26:44:ef:95:bc,NA,19,0.0196199999991222,presponse,5095.636696,4795637,2467
200,12,-80,11,11,Bbox-4332FE,00:26:44:ef:95:bf,NA,27,0.0272729999996955,presponse,5095.644349,4795645,2467
200,12,-76,9,10,NUMERICABLE-Moustik,00:1c:7b:cd:48:b6,NA,15,0.0151020000002973,presponse,5095.684285,4795685,2469
200,12,-68,3,3,Freebox-509E0F,f4:ca:e5:c2:2c:68,NA,3,0.00327500000003056,presponse,5095.690363,4795691,2470
200,12,-68,3,3,Freebox-509E0F,f4:ca:e5:c2:2c:68,NA,6,0.0064250000004904,presponse,5095.693513,4795694,2470
200,12,-68,3,3,FreeWifi,f4:ca:e5:c2:2c:69,NA,8,0.00820999999996275,presponse,5095.695298,4795696,2470
200,12,-68,3,3,FreeWifi_secure,f4:ca:e5:c2:2c:6a,NA,10,0.0105060000005324,presponse,5095.697594,4795698,2470
200,12,-67,3,2,FreeWifi,f4:ca:e5:c2:2c:69,NA,12,0.0120590000005905,presponse,5095.753203,4795754,2474
200,13,-73,6,6,Livebox-082c,00:19:70:af:8d:a7,NA,4,0.0047790000007808,presponse,5136.057958,4836058,2542
200,13,-75,6,6,orange,06:19:70:af:8d:a7,NA,6,0.00672100000065257,presponse,5136.0599,4836060,2542
